focus_type,constraint,path,focus_node,cause
Recording,ClassConstraintComponent,specimen,https://w3id.org/cdisc/cosmos/dss/LB/GLUCPL,"D19 divergence: gen-shacl honours class_uri cosmos_sdtm:AssignedTerm, gen-owl mints qbc:AssignedTerm; the A-Box follows the T-Box and types the node so"
Recording,ClassConstraintComponent,specimen,https://w3id.org/cdisc/cosmos/dss/LB/GLUCSER,"D19 divergence: gen-shacl honours class_uri cosmos_sdtm:AssignedTerm, gen-owl mints qbc:AssignedTerm; the A-Box follows the T-Box and types the node so"
Recording,ClassConstraintComponent,specimen,https://w3id.org/cdisc/cosmos/dss/LB/GLUCSERPL,"D19 divergence: gen-shacl honours class_uri cosmos_sdtm:AssignedTerm, gen-owl mints qbc:AssignedTerm; the A-Box follows the T-Box and types the node so"
Recording,ClassConstraintComponent,specimen,https://w3id.org/cdisc/cosmos/dss/LB/GLUCUA,"D19 divergence: gen-shacl honours class_uri cosmos_sdtm:AssignedTerm, gen-owl mints qbc:AssignedTerm; the A-Box follows the T-Box and types the node so"
Recording,ClassConstraintComponent,specimen,https://w3id.org/cdisc/cosmos/dss/LB/GLUCURIN,"D19 divergence: gen-shacl honours class_uri cosmos_sdtm:AssignedTerm, gen-owl mints qbc:AssignedTerm; the A-Box follows the T-Box and types the node so"
Recording,ClassConstraintComponent,specimen,https://w3id.org/cdisc/cosmos/dss/LB/GLUCURINPRES,"D19 divergence: gen-shacl honours class_uri cosmos_sdtm:AssignedTerm, gen-owl mints qbc:AssignedTerm; the A-Box follows the T-Box and types the node so"
Recording,ClassConstraintComponent,specimen,https://w3id.org/cdisc/cosmos/dss/MB/HCRNASERPL,"D19 divergence: gen-shacl honours class_uri cosmos_sdtm:AssignedTerm, gen-owl mints qbc:AssignedTerm; the A-Box follows the T-Box and types the node so"
Recording,ClassConstraintComponent,specimen,https://w3id.org/cdisc/cosmos/dss/MB/HCRNASERPLPRES,"D19 divergence: gen-shacl honours class_uri cosmos_sdtm:AssignedTerm, gen-owl mints qbc:AssignedTerm; the A-Box follows the T-Box and types the node so"
Recording,ClosedConstraintComponent,domain,https://w3id.org/cdisc/cosmos/dss/LB/GLUCPL,"D19 divergence: gen-shacl honours slot_uri cosmos_sdtm:domain, gen-owl drops it; the A-Box follows the T-Box and writes qbc:domain"
Recording,ClosedConstraintComponent,domain,https://w3id.org/cdisc/cosmos/dss/LB/GLUCSER,"D19 divergence: gen-shacl honours slot_uri cosmos_sdtm:domain, gen-owl drops it; the A-Box follows the T-Box and writes qbc:domain"
