domain,constraint,path,cause,count
AE,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),81
AE,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",6
AE,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",8
AE,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
AE,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",57
AE,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",81
AE,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",75
AE,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",2
AE,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",75
AE,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",81
AE,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
AE,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",57
AE,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
AE,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",57
BE,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),33
BE,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",3
BE,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",10
BE,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",7
BE,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",6
BE,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",33
BE,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",33
BE,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",26
BE,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",7
BE,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",26
BE,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",33
